"Type","Release","Title","Composer"
"Single","Free Again / Bad Seeds","Bad Seeds","Beat Happening"
"Compilation","We're All Normal...","Between Clark & Hilldale","Arthur Lee"
"Single","Mellow Doubt","Between Us","Neil Innes"
"Single","Sparky's Dream","Burned","Neil Young"
"Single","Radio","Chords Of Fame","Phil Ochs"
"Compilation","It's A Cool Cool Christmas","Christmas Eve","Euros Childs"
"Single","Everything Flows","Don't Cry No Tears","Neil Young"
"Single","Ain't That Enough","Femme Fatale","Lou Reed"
"Single","Hang On","Four Strong Winds","Ian Tyson"
"Single","Free Again / Bad Seeds","Free Again","Alex Chilton"
"Album","Thirteen","Goody Goody Gum Drops","Kasenetz/Katz/Whitelaw"
"Single","Mellow Doubt","Have You Ever Seen The Rain?","John Fogerty"
"Single","I Don't Want Control Of You","He'd Be A Diamond","Nick Saloman"
"Single","I Need Direction","Here Comes Your Man","Black Francis"
"Single","Start Again","How Many More Years","Fair & Fleming"
"Single","Neil Jung","I Heard You Looking","Hubley/Kaplan/McNew"
"Single","Scotland On Sunday","I Saw The Light","Todd Rundgren"
"Album","The King","Interstellar Overdrive","Barrett/Waters"
"Album","Thirteen","It's So Hard To Fall In Love","Sebadoh"
"Single","Ain't That Enough","Jesus Christ","Alex Chilton"
"Single","What You Do To Me","Life's A Gas","Mark Bolan"
"Single","Star Sign","Like A Virgin","Steinberg/Kelly"
"Compilation","Ruby Trax","Mr Tambourine Man","Dylan"
"Single","Start Again","Nothing To Be Done","Haywood/Simpson/Taylor/Pastel/Aggi"
"Single","Norman 3","Older Guys","Parsons/Hillman/Leadon"
"Compilation","Why Don't We Do It In The Road?","Tell Me What You See","Lennon/McCartney"
"Single","The Ballad Of John & Yoko","The Ballad Of John & Yoko","Lennon/McCartney"
"Single","Sparky's Dream","Try And Stop Me","Pickett/Phillips"
"Single","Sparky's Dream","Who Loves The Sun","Lou Reed"
